1,1,1
2,1,1
3,1,1
7,1,1
10,1,1
14,1,1
16,1,1
22,1,1
1,2,1
2,2,1
15,2,1
2,3,1
15,3,1
1,4,1
2,4,1
2,5,1
3,5,1
8,5,1
15,5,1
17,5,1
22,5,1
2,6,1
8,6,1
2,7,1
8,7,1
1,8,1
3,8,1
9,8,1
3,9,1
7,9,1
1,10,1
3,10,1
15,10,1
22,10,1
1,11,1
3,11,1
8,11,1
22,11,1
3,12,1
16,12,1
22,12,1
3,13,1
7,13,1
14,13,1
15,13,1
22,13,1
1,14,1
3,14,1
7,14,1
14,14,1
3,15,1
7,15,1
8,15,1
14,15,1
1,16,1
3,16,1
8,16,1
3,17,1
7,17,1
8,17,1
14,17,1
22,17,1
1,18,1
3,18,1
8,18,1
22,18,1
3,19,1
22,19,1
1,20,1
3,20,1
15,20,1
1,21,1
3,21,1
14,21,1
1,22,1
3,22,1
6,22,1
7,22,1
8,22,1
1,23,1
3,23,1
3,24,1
14,24,1
15,24,1
22,24,1
1,25,1
3,25,1
6,25,1
16,25,1
1,26,1
3,26,1
6,26,1
8,26,1
22,26,1
3,27,1
7,27,1
15,27,1
3,28,1
5,28,1
7,28,1
8,28,1
14,28,1
22,28,1
3,29,1
7,29,1
3,30,1
7,30,1
22,30,1
1,31,1
3,31,1
5,31,1
15,31,1
3,32,1
7,32,1
15,32,1
22,32,1
3,33,1
7,33,1
22,33,1
1,34,1
3,34,1
8,34,1
3,35,1
6,35,1
22,35,1
1,36,1
3,36,1
5,36,1
7,36,1
14,36,1
15,36,1
3,37,1
15,37,1
4,38,1
7,38,1
15,38,1
5,39,1
8,39,1
9,39,1
14,39,1
1,40,1
5,40,1
14,40,1
15,40,1
1,41,1
5,41,1
5,42,1
15,42,1
22,42,1
5,43,1
15,43,1
5,44,1
7,44,1
8,44,1
15,44,1
22,44,1
5,45,1
7,45,1
8,45,1
9,45,1
17,45,1
18,45,1
20,45,1
22,45,1
1,46,1
5,46,1
7,46,1
9,46,1
15,46,1
16,46,1
20,46,1
22,46,1
5,47,1
7,47,1
8,47,1
9,47,1
1,48,1
5,48,1
9,48,1
5,49,1
7,49,1
8,49,1
14,49,1
22,49,1
5,50,1
8,50,1
5,51,1
9,51,1
5,52,1
7,52,1
5,53,1
7,53,1
3,54,1
5,54,1
15,54,1
16,54,1
5,55,1
8,55,1
1,56,1
5,56,1
15,56,1
5,57,1
15,57,1
5,58,1
15,58,1
5,59,1
7,59,1
22,59,1
1,60,1
3,60,1
5,60,1
7,60,1
17,60,1
5,61,1
9,61,1
18,61,1
5,62,1
9,62,1
22,62,1
5,63,1
7,63,1
14,63,1
15,63,1
22,63,1
5,64,1
8,64,1
5,65,1
7,65,1
14,65,1
17,65,1
22,65,1
1,66,1
5,66,1
6,66,1
14,66,1
15,66,1
20,66,1
22,66,1
6,67,1
8,67,1
14,67,1
1,68,1
6,68,1
7,68,1
1,69,1
6,69,1
16,69,1
7,70,1
15,70,1
1,71,1
7,71,1
20,71,1
7,72,1
15,72,1
1,73,1
7,73,1
7,74,1
8,74,1
7,75,1
18,75,1
22,75,1
1,76,1
3,76,1
7,76,1
15,76,1
3,77,1
7,77,1
14,77,1
15,77,1
22,77,1
3,78,1
7,78,1
14,78,1
15,78,1
17,78,1
1,79,1
3,79,1
7,79,1
14,79,1
17,79,1
20,79,1
22,79,1
7,80,1
15,80,1
7,81,1
18,81,1
22,81,1
7,82,1
22,82,1
1,83,1
7,83,1
8,83,1
1,84,1
7,84,1
20,84,1
7,85,1
8,85,1
1,86,1
7,86,1
8,86,1
1,87,1
7,87,1
7,88,1
8,88,1
1,89,1
7,89,1
3,90,1
7,90,1
8,90,1
22,90,1
1,91,1
7,91,1
20,91,1
3,92,1
7,92,1
15,92,1
22,92,1
7,93,1
15,93,1
22,93,1
7,94,1
18,94,1
7,95,1
15,95,1
22,95,1
7,96,1
8,96,1
20,96,1
1,97,1
7,97,1
1,98,1
7,98,1
14,98,1
17,98,1
1,99,1
7,99,1
14,99,1
7,100,1
8,100,1
1,101,1
7,101,1
1,102,1
7,102,1
20,102,1
